id,Korean,English,Japanese,Rank
웨이브캣 베개,웨이브캣 베개,Wavecat Pillow,ウェーブキャットの枕,SR
페로로 휠 슬라이드,페로로 휠 슬라이드,Peroro Wheel,ペロロの腹筋ローラー,SR
에이~팟 프로,에이~팟 프로,A-Pods Pro,エーポッドプロ,SR
"금단의 연애 ~허락되지 않아서, 더욱 아름다운 사랑~","금단의 연애 ~허락되지 않아서, 더욱 아름다운 사랑~",Forbidden Love ~Beautiful Sin~,禁断の愛 〜許されないからこそ美しく〜,SR
게임 잡지 『히트걸즈』,게임 잡지 『히트걸즈』,Hitgirls Gaming Magazine,ゲームマガジン 「ヒットガールズ」,SR
체리로즈 립글로즈,체리로즈 립글로즈,Cherry-Rose Lip Gloss,チェリーローズカラーのグロス,SR
피부까지 투명해지는 BB크림,피부까지 투명해지는 BB크림,Glassy Glow BB Cream,お肌を透明にするBBクリーム,SR
밀리터리 3종 위장용 파운데이션,밀리터리 3종 위장용 파운데이션,Military Camo Foundation Trio,ミリタリー用カモフラージュクリーム3種セット,SR
고급 쿠키 세트,고급 쿠키 세트,Luxury Cookie Set,高級なクッキーセット,SR
"총, 귀여움, 청춘","<총, 귀여움, 청춘>","Guns, Charm, and Zeal",『銃 可愛い 青春』,SR
천체망원경,천체망원경,Astronomical Telescope,天体望遠鏡,SR
게임걸 컬러 복각판,게임걸 컬러 복각판,Gamegirl Color Replica,ゲームガールカラー復刻版,SR
MX-레이션 C형 디저트 맛,MX-레이션 C형 디저트 맛,MX-Ration C-Type Dessert Flavor,MX-レーションC型デザート風味,SR
말차맛 라무네,말차맛 라무네,Matcha Ramune,抹茶味の瓶ラムネ,SR
젤리즈 쿠션,젤리즈 쿠션,Jellies Cushion,ゼリーズの枕,SR
초절 토끼 탐정~안개로 가려진 온천 미끄덩 사건~,초절 토끼 탐정~안개로 가려진 온천 미끄덩 사건~,Jumping Detective Rabbit ~A trip through the misty hot springs~,跳躍探偵ウサギ 〜霧に包まれた温泉での滑落〜,SR
O-오피트,O-오피트,Ring Bit,O-フィット,SR
매장금의 지도,매장금의 지도,Buried Treasure Map,埋蔵金の地図,SR
코스프레용 뱅뱅이 안경,코스프레용 뱅뱅이 안경,Cosplayer Coke-Bottle Glasses,コスプレ用ぐるぐるメガネ,SR
세상에서 가장 쓸데없는 기계,세상에서 가장 쓸데없는 기계,World's Most Useless Gadget,世界で最も無駄な絡繰りボックス,SR
리본이 달린 곰인형,리본이 달린 곰인형,Teddy Bear with Bow,リボンのついた熊のぬいぐるみ,SR
영화 예매권,영화 예매권,Movie Ticket,映画の前売りペアチケット,SR
30색 물감 세트,30색 물감 세트,30-Color Paint Set,30色の絵の具セット,SR
고전 시집,고전 시집,Classical Poetry Anthology,古典の詩集,
귀여운 그릇 세트,귀여운 그릇 세트,Cute Dishware Set,可愛い食器セット,
두뇌개발용 퍼즐 큐브,두뇌개발용 퍼즐 큐브,Brain Teaser Puzzle Cube,頭脳開発キューブパズル,
대형 홀 케이크,대형 홀 케이크,Large Whole Cake,大きなホールケーキ,
고급 뷔페 초대권,고급 뷔페 초대권,Luxury Buffet Ticket,ハイクラスビュッフェ招待券,
식충식물 화분,식충식물 화분,Potted Bug-Eating Plant,食虫植物の植木鉢,
비싸보이는 금박 욕망의 항아리,비싸보이는 금박 욕망의 항아리,Extravagant Gilded Jar of Greed,高級そうな欲望のつぼ,
태엽장치 오르골,태엽장치 오르골,Wind-Up Music Box,ぜんまい式オルゴール,
자수가 놓인 손수건,자수가 놓인 손수건,Embroidered Handkerchief,刺繍付きのハンカチ,
백과사전,백과사전,Encyclopedia,百科事典,
건강보조식품,건강보조식품,Health Food Supplement,ザ・サプリメント,
여름용 튜브,여름용 튜브,Summer Tube,夏模様の浮き輪,
레이스 베개,레이스 베개,Lace Pillow,レースの枕,
스트리트 오브 불량배 1권,스트리트 오브 불량배 1권,Streets of Thugs Vol. 1,ストリートオブヤンキー1巻,
사무엘라 더 비욘드,사무엘라 <더 비욘드>,"Samuela ""The Beyond""",サミュエラ「ザ・ビヨンド」,
고풍스러운 달걀 공예품,고풍스러운 달걀 공예품,Retro Jewelled Egg,レトロな卵の工芸品,
밀피유의 정통 파르페,밀피유의 정통 파르페,Mille-Feuille Traditional Parfait,ミルフィーユの正統派パフェ,
에이~북 레어,에이~북 레어,I-book Rare,エイ～ブックレア,
세련된 머리빗,세련된 머리빗,Stylish Comb,おしゃれなくし,
영양가득 종합 비타민 젤리,영양가득 종합 비타민 젤리,Nutrient-rich Multivitamin Jellies,栄養満載の総合ビタミンゼリー,
최고급 단풍나무 분재,최고급 단풍나무 분재,Fine Maple Bonsai,最高級の楓の盆栽,
반짇고리 키트,반짇고리 키트,Sewing Kit,裁縫キット,
음악 연주회 입장권,음악 연주회 입장권,Music Concert Ticket,音楽演奏会入場券,
하루 세 번 덤벨 세트,하루 세 번 덤벨 세트,Thrice-a-day Dumbbell Set,1日3回ダンベルセット,
보드 게임 더 인생,보드 게임 <더 인생>,"""The Life"" Board Game",ボードゲーム「ザ・人生」,
